3.14154,1,84000000,4.30679
3.14157,1,168000000,8.60998
3.14154,1,252000000,13.3282
3.1416,1,336000000,17.8696
3.14165,1,420000000,22.435
3.14155,1,504000000,27.0212
3.14163,1,588000000,31.5953
3.14159,1,672000000,36.0063
3.14158,1,756000000,40.3994
3.14159,1,840000000,44.8273
3.13861,2,84000000,7.5749
3.1373,2,168000000,18.0878
3.13731,2,252000000,26.7258
3.13737,2,336000000,35.9325
3.13735,2,420000000,45.0532
3.13725,2,504000000,53.6759
3.13726,2,588000000,62.4119
3.13743,2,672000000,71.1837
3.13734,2,756000000,80.4528
3.13729,2,840000000,89.0357
3.13707,3,84000000,9.20876
3.13676,3,168000000,18.7082
3.13696,3,252000000,28.204
3.13693,3,336000000,37.7987
3.13652,3,420000000,47.6315
3.13688,3,504000000,56.9784
3.13675,3,588000000,66.727
3.13677,3,672000000,76.1031
3.13691,3,756000000,85.9562
3.13664,3,840000000,95.4882
3.13681,4,84000000,9.54467
3.13664,4,168000000,19.1969
3.13635,4,252000000,29.1958
3.13667,4,336000000,39.0588
3.13653,4,420000000,48.7949
3.1365,4,504000000,58.4519
3.13688,4,588000000,68.2502
3.13654,4,672000000,78.4193
3.13675,4,756000000,87.8456
3.13647,4,840000000,97.6552
